star,review
25,"  Glorious visuals and good acting cannot save a painfully bad script. After the well received Rouge One, I had high hopes that the franchise could be brought back into the sun after the terrible prequel trilogy and the been-there-done-that of The Force Awakens, but it was not to be. The movie suffer from ham-fisted attempts at humor that fall flat and unintentionally laughably ridiculous scenes (yes Mary Poppins, I speak of you). After the throne room betrayal, it became clear that the movie was determined to use swerves rather than thoughtful storytelling to forward the plot. I half expected the whole thing to be just a dream by the end, and to my eye-rolling and incredulous disappointment it essentially was. Add to that a 30 minute videogame style quest that goes nowhere, a gleeful book burning Nazi Yoda (I understand the desire to start fresh, but that was a tad on-the-nose), and the marvelous build up of Luke as a hopeless figure only to have him change his mind for no real reason other than to have an epic showdown (another swerve) and had this been any other franchise, the critics would have panned the sloppy storytelling and inconsistencies.That being said, why did the critics give it such praise? Two possible reasons. 1) They graded on a curve. The Star Wars franchise has had some ups and downs (with the downs being rather dismal) and rather than view it as a standard movie, they said 'For a Star Wars movie, it wasn't that bad'. 2) Fear. Given Disney's rather draconian treatment of criticism lately, no one was willing to risk their wrath by calling a tent pole franchise a turd. Also, fear of the fanboy reaction to calling yet another Star Wars movie a poor job (which is ironic in hindsight)All the bad press in the world will not stop this movie from being a billion dollar juggernaut, but all the money it makes cannot force this movie into being good."
50,"  Good fun with some nice character development, especially for Rey and Kylo Ren, who establish their position as central characters in the final trilogy. The porgs provide some comic relief without becoming annoying and the old geezers (Luke and Leia) blend great with the newcomers."
45,  Great for the casual fan looking for entertainment. For die hard fans (which I am one) it will be the source of arguments for years to come.
50,  Great movie if you don't go in with a lot of ideas about how you would want it to go. Keep an open mind. As a true fan i like that they are trying to take it somewhere new while honoring what was done
5,"  Horrendous. A social justice nightmare. Every white male in the film was either incredibly incompetent or a nefarious/evil character. Star Wars: Episode IV was the first movie I saw as a child, it's incredibly sad what the franchise has become. RIP Star Wars"
5,  I can't believe how horribly stupid this plot was. And now there are articles about haters are using bots and scripts to lower the score? What?!?!? I'll never pay for Disney movies again. Why would I? Fans write better stories than this.
5,"  I dont care if its long, as long as it is good. Lord of the Rings is long, but fantastic, and want more of it. This movie was boring, politically correct nonsense. It could have been great, but failed."
45,  I enjoyed it. I'd see it again. Was it long at times? Sure. Are there some oddities with the fact that the Rebels are reduced to a handful of heroes trapped in a cave? Yes. But the movie falls right into place and sets up the rest of the story.
20,"  I feel like a kid who waited 2 years for Christmas and just found a lump of coal in my stocking. I walked out of the Force Awakens feeling positively giddy, and left the Last Jedi feeling disappointed and a little depressed. The sub-plots were ridiculous and added nothing to the story, especially the casino scenes. I found myself rolling my eyes and had flashbacks to watching the prequels in certain spots. It was great to see Luke, and I loved Mark's performance, but I cant understand why, if they wanted to sacrifice another hero, they didn't write Leah's death into the script instead of Lukes. With all 3 original stars gone, I fear for the next installment. There were some nice scenes with Kilo and Rey, but all in all, too many plot holes, un-answered questions, unnecessary characters and just bad storytelling. So disappointing after the Force Awakens terrific start to the series."
5,"  I gave this half a star because it has ""Star Wars"" in the title. Otherwise it was trash.This movie has no original plot.The franchise doesn't have a coherent story anymore. It treats the audience like it's incredibly stupid by clubbing the audience with overblown rhetoric, over the top villains and repeating the word ""Hope!"" over and over again as if we missed it the first time.The Force is now just a galactic cheat code allowing the most random people to do incredible miracles with absolutely no training whatever. Instead of allowing the Force to remain the elegant mystery described by Yoda in The Empire Strikes Back they're just using it as a tool to sell toy light sabers to every kid in the world because, you know, anyone can use the Force like a god now.I couldn't care less about any of the new characters although I would pay money to watch Po die horribly.Luke is in turmoil but his father and his first teacher (Anakin and Obi Wan) don't even check in with him?The message to the audience is clear. All of those who have been fans since 1977 should fade into the background with Luke Skywalker because the Star Wars universe you knew is gone and not coming back. Its all about selling Micky Mouse Light sabers and Disney Star Wars cruises. No one is interested in telling a story; not even a bad story. So next time don't insult the world and just put up a 15 minute light saber battle, have another Death Star blow up, have someone yell ""Hope!"" and then let the new space puffins dance around the Millennium Falcon to the strains of the Star Wars theme. A movie only a fanboy could love."
5,"  I had to add an account on Rotten Tomatoes just so I can review this movie. People and Critics who say this was a good movie were either paid off or they have a family member that works for Disney or on the production of the film. As a science fiction film it there are so many plot holes pointless story arcs and fantasy that goes beyond the bedrock of a science fiction film. As a star wars movie Rian Johnson and Disney are clearly marking their territory, like a dog urinating on a tree. They dissolve any nostalgia of the OT and anything they built up in the Force Awakens. I don't care if you want to take it your own direction but don't call it star wars. this film franchise is lying to its fan base and Lukes statement in the trailers ""This is not going to end the way you think!"" is spot for the entire film and for the rest of the star wars franchise. Bottom line, its an ok film and a god awful star wars anything."
30,"  I have seen most Star Wars film multiple times, but I don't think I'll bother again with this one. The plot has MASSIVE holes in it (no spoiler comments here), some of the characters are really poorly developed / unnecessary, scenes (as another reviewer noted) are not needed / confuse things, and no, gravity doesn't happen in space, which negates a crucial 10 minutes of the film (so, a little bit of spoiling here). My family and I - wife and 2 sons - all walked out with ""meh"" as our review, and each from different perspectives. If we add up all our ""mehs"", we probably would give it 2 stars, except that it's Star Wars, and the CGI is outrageously incredible. The effects get 5 stars, the plot, character development, and unnecessary / ridiculous scenes get 2 stars. I can't recommend it to anyone other than Star Wars fans."
30,"  I have so many things to say, but I'll say this: Effects and the porgs were great. The story lines were disappointing and weird in so many ways especially those surrounding Luke and Leia, which I may add was the reason most people went to see the movie in the first place."
20,"  I left TFA in a nostalgic trance that allowed me to forgive it's obvious holes and shameless copying. Yes TFA played it safe and many dismiss the film for it but it did so to avoid what TLJ has arguably now done- soil a cherished franchise. I left TLJ melancholy. It tosses compelling new plots so subtly introduced by Abrams and replaces them with either nothing or something far more convoluted. It alienated itself from the rest of the franchise nearly as much as Rogue One did (the difference being Rogue One was meant to). In regards to cinematography, the film visually delivers. Despite the frustrating nature of the casino subplot in its entirety, it was one of few instances of homage to original fanatical settings. Unfortunately my main quibble is what this film represents for the franchise as a whole. It's the Disney-fication of Star Wars. Such cutesy, infuriating humour. Shameless plugs for young viewers (think the owl/puffin things). The franchise faces a serious identity crisis.. can you simultaneously have a supposedly darker film with lightcore gore and deeper moral considerations while still diluting itself with the cheek and cuteness?Is it brave to deliver not just what fans want and expect? Sure, but I think it still fell flat. Abrams has some serious damage control to do for the finale to the new trilogy. In summary- a decent standalone film on its merits, albeit with serious plot holes and dialogue flaws. The kiddos will like it in a classic sci-fi cinematography sense. As a Star Wars film, I think many generational faithful will feel cheated, as I do."
25,"  I saw TLJ. I really feel disappointed. I didn't like much about this movie: Leia flying through the air, Rose/Finn story line, Rey and Kylo talking to each other even though they were planets away, Luke in a way giving up, the editing was chopping. I wasn't a fan of the purple haired character. I didn't really like the silly plot of running out of fuel. Overall, I liked the original trilogy. I had problems with the prequels, but they were decent in many respects. I really like TFA, and I loved Rogue One, so I was excited to see TLJ. But I'm quite disappointed in it! :("
50,"  I think that this is one of the best films of the whole movie. Although the film has moments where it becomes weaker, BUT it can be forgiven if you consider the film as a whole. A smart movie!"
35,  I thought the film was good however I thought for the 2nd film of a trilogy the story was to fast because it should have shown and told us more about snoke and luke and not tried to rush both Ben solo and rey's storyline so fast this movie would have made a better 3rd film than 2nd that's why I believe fans are mixed about the film and is why it's going to be hard for the next film of this trilogy to get a good story going.
20,"  I understand the ""out with the old and in with the new."" Just didn't like the transition. Did we as fans build Snoke up? Snoke scene total let down. Would preferred a different direction for Luke. Again understand he has to pass the torch just didnt work for me. Since we have never seen Liea use any force powers I find it strange how powerful she must be to have survived exposure to space and to ""fly"" in space. Always cool to see Yoda!"
5,"  If you actually thought this was a good Star Wars film then you're not an actual fan of the franchise and you don't know some of the most basic points to the Star Wars story. For Rey not to be of the Skywalker bloodline (and yes, I dont care that this is spoiled because it's a pretty rotten point and should be spoiled IMO) does not make a whole lot of sense when taking her unprecedented connection to the force into account. What seemed to take place was the fan base had a good idea that Rey was of Skywalker blood, and that Snoke may have been Darth Plagueis, and these may have in fact been where the story was going when we heard the franchise was getting another trilogy. However, these things were stripped for the sake of dodging predictability. Both of these ideas are miles ahead of what actually took place: Snoke is no one, and Rey is no one. You didn't even try to put any depth into this plot, Rian Johnson. This was 2 and a half hours of social justice propaganda. ""Rey, a woman from nothing, can do absolutely everything"" even if it means destroying the greatest film franchise humanity has ever known. Thanks, you **** ****"
30,"  If you don't think too deeply about the plot, characterizations, and all the foundation laid down in the previous 8 Star Wars movies and cartoons, then you could ay this it is an enjoyable roller coaster ride and 5 stars.However if you are a critically thinking Star Wars fan, then you may well be aware of the following issues and why 3 or even 2 stars is a generous rating due to continuity problems and sloppy writing. {Spoilers ahead}.1. If the First Order is sizeable enough to do mop up operations across the galaxy as said in the opening crawl, they lacked a second fleet to basically intercept and pincer move a weak resistance fleet. 2. In TFA they introduced force powers that could freeze a laser beam in mid air while slso engaging in force choking and other force acts. Yet, Leia could not freeze the shot going to the bridge thereby saving Ackbar and the rest and Snoke could not bend the blade of the saber before suffering a mortal wound. 3. Why is the Last Jedi more concerned, in terms of movie run time, with finding a code breaker to end this slow speed chase than, oh I don't know...explaining force sensitivity and being a Jedi with more than one line ""Jedi's don't own the force""? 4. Where is the Knights of Ren in this movie, even in the flashbacks of the destruction of the Jedi Temple, since they were supposedly there according to TFA? I had to look up after the movie just to make sure the Praetorian Guard was not the Knights of Ren in better outfits. 5. I expected Luke or Yoda to at least explain the existence of Snoke or at least make reference to the Sith rule of two being another bit of hubris or lies the Jedi bought into. Considering the simultaneous existence of Maul, Dooku, and Grevious, as well as Vader, the Inquisitors, and Spider Maul, as well as the era with Snoke, Kylo, and the rest of the Knights of Ren, the rule of two for Sith is not even a suggestion for Lucas, never mind Disney.6. If Darth Maul could survive being chopped in half according to Star Wars canon, a) why was Kylo not aware of that? b) how weak is Snoke that a Sith apprentice could survive what a master could not?7. If Luke was so convinced he could turn his father back to the light after the death of millions at his hand, why was he so convinced of his inability to turn a dark leaning apprentice back to the light, who did nothing really bad at that point, but instead need to murder him by light saber rather than force choking in his sleep or focusing on turning him back, like he did with his more powerful Daddy? Is it an old Jedi adage that you can't turn back your own fallen apprentice that's at play here?8. If Luke was going to help the resistance/Rebels, why didn't he hitch a ride in the Falcon and do his force projection at closer less straining range, so it might not kill him?9. Why would the rebels engineer a base with no known back door and why couldn't Leia or Kylo sense it but Luke and the crystal foxes could?10. If Hordo was such a good general, why not take one of the first cruisers and smash it into the First Order fleet at light speed and preserve the the rest of your fleet?11. Unless Rose is the last Jedi, why was more run time devoted to her plot than IDK than Luke or Rey, since either of them technically may be considered the last Jedi?This just points to some sloppy ass writing and poor continuity checks. If Disney still has Riann Johnson write the next trilogy, I will be skipping those if they are poorly plotted as this film."
10,"  In The Force Awakens, Han angrily tells Finn, ""That's not how the Force works."" After watching The Last Jedi, I found myself similarly flabbergasted. Mary Poppins Leia, BB-8 slot coin machine gun and a Luke Skywalker who is more interested in showing Rey how he milks aliens than listening to her on why his own sister needs help from the son he helped drive to the dark side. When Obi Wan went into hiding it was for the purpose of one day training Luke to fox the mistakes he had been a part of. Luke went into hiding to allow those mistakes to fester into a new empire that is killing all those he loves. What a waste of a story."
40,  Interesting storylines. But overall amazing. Needs a second or third viewing to catch all the nuances. Its not your average star wars.
20,"  It had some visually great scenes, hands down. But that's pretty much it, the story just didn't seem right for a Star Wars movie, nothing seemed right to me, very disapointed in the plot, and for being such a long movie it felt kind of empty. Hoping they can make up for it in the next one."
5,"  It was absolutely the worst Star Wars movie. I thought TFA was bad.. this goes beyond that. So many pointless scenes, horrible plots and what they did to Luke Skywalker is pretty painful for 30 to 50 year olds that helped keep this franchise so popular through the decades. Absolutely a punch in the stomach. Good riddance Disney and Star Wars. Don't care anymore."
50,  It was not what I expected but it was a great movie . Resets the Star Wars universe and opens it up to new possibilities.
5,"  It's not as bad as people say it is... It's far far worse. Not just a bad star wars movie, a bad movie period. Makes zero sense at every level, I don't even know where to start. Save your money and watch it when it airs on free TV... It's just crap."
10,  like watching Spaceballs being turned into a Star wars movie. A progressive parody of what star wars used to be.
5,  Liking this movie means you probably suffer from cognitive dissonance and let your love for the pre-Disney versions allow you to overlook major story flaws in this almost entirely new child like disjointed universe.
50,  Loved the movie! Maybe my favorite from the whole saga at the same height of ESB. I really liked the way Rian Johnson took risks that pay off. I actually felt like the first time I watched ESB and after a second screening I loved to see children talking about how amazing the movie is. I ENJOYED Star Wars again.
50,"  Loved the movie, it was inspiring and surprising. Loved the fact that they actually made the characters human and not flawless heroes, everyone can make a mistake. It's not a fairytale, let's leave them to the kids. Even the mighty Luke Skywalker get's scared and makes mistakes, and young heroes like Poe, Rey and Finn must grow up and learn before leading a rebellion. It's an actual movie, that gives a new perspective on the characters we love, and I as a Fan (with capital letters 'cause I saw the movies countless times and read some of the novels) appreciate it maybe more than the others. And for the riot that made also a petition to remake the movie, you should read again the books about the old trilogy (spoiler: Luke is very human and just a normal guy, not some flawless god)."
45,"  Loved the movie, thought it was a great story-line keeping to a successful formula for Star Wars of the good side not always being as victorious as you would hope, but enough to make progress against the evil."
20,"  More silly and less focused than The Force Awakens, The Last Jedi offers many entertaining and dramatic moments but ultimately fails to be a Star Wars film or give its main characters any real substance to work with. They're continuing to do their best at writing these films without writing them and hoping the cinematography makes up for it. For many of us, it does not."
25,"  Mostly the same story as ESB, just resequenced. Over the top humor and too mich of it. Has some great moments but not enough and a bad plot. Rogue One has set the bar and this falls miserably short. The best line is, ""You're no Vader, just a child in a mask."" That pretty much sums up Kylo and the rest of the movie....a big pretender."
10,"  Movie ruined everything that The Force Awakens was building up to. Concepts from the original films have been ruined. Many questions people had from TFA were left unanswered or were extremely dissatisfying. As a film, it is good. However as a Star Wars film, it is awful."
40,"  Not a perfect film, but after being disappointed by Force Awakens, this was utterly satisfying. It takes the franchise in new directions, while still feeling like Star Wars, through and through. I walked out of the theater re-experiencing the feeling of awe I had as a kid seeing A New Hope."
40,"  Not a perfect film, but after being disappointed by Force Awakens, this was utterly satisfying. It takes the franchise in new directions, while still feeling like Star Wars, through and through. I walked out of the theater re-experiencing the feeling of awe I had as a kid seeing A New Hope."
5,"  Plot holes, mishandling of key star wars universe characters, poor new character and set introduction, poor writing. F-."
50,"  Really enjoy watching this movie. Funny moments, excitement and emotional scene, all you need for Star wars fan are in this movie. Wow!!. I really love it."
50,"  Really liked it. Rian Johnson made an epic. Really enjoyed how despite all the set up in the first film it didn't seem to matter in the second. Felt a little like game of thrones where we might see the origins of Snoke. Nope, doesn't matter. It's all about the kids. Loved it. Kept me enthralled."
20,"  Slightly below average? Lots of slapstick for no reason what so ever. The constant ""we are all going to do, oh wait a miracle, oh never mind we are still all going to die"" pace gets old really quick. A movie does need that many moments of anxiety to be good. I liked Ren and Reys development but that was about it. Lukes death was silly, could have just as easily not been a meditating hologram and just had Ren actually kill him and that would have brought more meaning and purpose to it. It is pretty unbelievable that Snoke a seemingly 100 year old bad guy has only been using the force for 20 or so years (according to how sith work). His death didn't bother me like it did some. The movie over all just sort of fell flat. It has its good moments sure, but at least an hour of unneeded film that could have been replaced by substance."
15,"  SPOILERS: So many plot holes that it's taken the enjoyment out of this movie for me. Where were the dreadnought's shields? If it's so easy to destroy large ships by jumping into light speed thru one, why has that not been done more? Why do ships not have auto pilot, or instruct a droid to fly the ship, why did Admiral Holdo have to go down with the ship? Wasn't Leia unconscious long enough in the void of space to have died before her force powers kicked in? Finn was the only target for AT-ATs, why did no one shot him when he was going for the cannon? How did he drag a body back to the base before the AT-ATs got there? Phasma was under used. The casino subplot really dragged the movie down and was so obviously pushing a political message that it was annoying and accomplished nothing besides introducing DJ who I'm assuming will be a bigger part of the next movie. Who is Snoke? Guess we'll never know... How was Ray so talented with the force and lightsaber with such little training, sure she got some with Luke this movie, but not much? Did not leave me on edge about what comes next. I will not be seeing the next installment."
10,"  Star Wars: The Last Jedi was a disappointment. The introduction of a litany of new characters came at the expense of advancing the storylines of the sagas existing cast that moviegoers fell in love with in the The Force Awakens. Further, the development of the new cast felt half-witted. In the end, the movie failed to present any compelling case for why moviegoers should feel any emotional connection with any of the film's characters despite a 2.5 hour run time. It was clear that Hollywood's stances on today's gender and racial politics played a major part in the film's plot lines. While a lot of politically agnostic moviegoers tend to look past minor incidences of politically motivated screenplay, Star Wars: The Last Jedi took drastic steps to implement political motivations into the film. The most glaring example of these motivations is the interaction between Poe and Lauren Dern's character Amilyn Holdo. The narrative surrounding that interaction felt quite patronizing. There were several cliche moments in the film that even the prequel movies would have shied away from. The first installment of Disney's Star Wars reboot created high hopes for the second film. Unfortunately, Star Wars: The Last Jedi failed to live up to the expectations. I hope that in the third film has stronger character development and avoids delving into politically motivated screenplay."
5,"  Terrible plot, lots of holes and inconsistencies. Diversity is clearly great and not a problem at all (as some point out). It's just a poorly written movie to grab your money."
10,"  Terrible. Disney laughs in the face of the lore that has been built up over decades of Star Wars. The plot is paper thin, there's swearing, humour and jokes that shout Marvel and Dinsey, NOT Star Wars. It also features the most ridiculous Mary Poppins-esque scene ever to be included in the Star Wars universe. Sad times :("
15,"  The force was not with this film. Some newer, and progressive fans may enjoy The Last Jedi, loyalists of the original trilogy are in for quite a disappointment. JJ Abrams was able to ride the forgiving wave of fan-nostalgia when Disney released his entry, Force Awakens in 2015. Sure, the plot seemed a bit too familiar, and a bit of a re-hash of things seen before. However, the story-telling potential with what was set-up in The Force Awakens was enough to forgive the lack of originality. 2 years on, the intriguing questions posed by The Force Awakens are poorly answered by The Last Jedi. Some of the biggest mysterious are poorly handled, and done so in a careless way...bucking audience expectations. Additionally, the problems with The Force Awakens are only magnified tremendously. Director Rian Johnson's The Last Jedi borrows heavily from The Empire Strikes Back, but does so without any of the charm JJ Abrams brought to The Force Awakens. When the credits of this film roll you may be left wondering if the Star Wars powerhouse has finally run out of steam....or if the folks at Disney should really spend time creating an original story that stands independent of recycled plots, themes, and characters."
25,"  The Last Jedi is 2 hours 30 minutes long and 20 minutes deep. The narrative is the spectacle of CGI. The suspension of disbelief falls short as so many major plot points deviate so drastically from the characters and world that Lucas established. The surprising twists are twists because they don't make sense or contradict established characterizations and lore. Some contradictions occur in the same film (shields, the vacuum of space, hyperdrive, the Force, etc.). As a science fiction movie, this is movie is better than some, worse than others. As a Star Wars movie, it does a disservice to the franchise."
5,"  The plot holes. The irrelevant subplots that lead to nowhere. The insistence of comedic relief. Story telling at it's worst, and thats not even going into the way they handled the characters from the star wars universe"
10,"  The visuals were amazing and the sound engineering was great. Almost everything else about this movie made it hard to take seriously. The dialogue was stiff and strange, the plot was not engaging, and the movie lacked any form of serious conflict. The Last Jedi is a waste of 2.5 hours."
25,"  They simply could have made this movie better. While decent, but still not better than Empire Strikes Back and, ironically, on par with Return of the Jedi. I simply don't understand the logic of a non-physical form Luke Skywalker going forward. We never got to see Luke Skywalker using a lightsaber as a true Jedi Master and using his full power in the Force. It leads me to ponder if the screenwriters or story writers have any clue about the saga of the Skywalker family."
30,"  This is not the movie I wanted to see. Technically it was a beautifully shot movie, with a couple of homages to the Star Wars we all know and love(d). Wasteful, non-inspiring story. I understand the logic of why they did what they did with the Skywalker's in this movie, but it is sure to make fans upset. This movie has cured me of standing in line opening night for the latest Star Wars movie, which I have done since I was 5 years old when the original Star Wars A New Hope opened. I feel like the writer/director didn't care about the audience, and I felt my time was wasted on huge chunks of the movie that had nothing to do with the plot. I'll see the next movie, but I won't rush to see it."
5,"  This movie completely annihilated a beloved franchise in the most agonizing 2hr33min of my life, and without the use of JarJar Binks, a feat I previously thought impossible. The only comfort for me is that at least now people won't say episodes 1-3 were bad, because they now have episode 8 to compare them to. This movie has turned one of the greatest characters into an alien milking maniac, had Princess Leia magically fly through space like an X-Wing, and had the all powerful Snoke get killed by a teen who lost a light saber battle to someone with zero training. Imagine every fans worst fears about Disney taking over the franchise. Multiply this by 10. This is what materialized on screen. When Kylo said ""let it die, kill it if you have to"" he was talking about the Star Wars legacy, and this movie unquestioningly satisfies this objective."
5,  This movie was terrible and there was no plot and the acters suck sorry to say but Walt Disney only did this movie for the money that would come in bye the hard core fans and shit all over use what a pile of garbage sorry to say
10,  This movie was terrible. Please get JJ Abrams back fast. On top of the plot holes people have brought up it was just cheesy. Sorry but Mark is not a good actor. Really bad. I understand why they didnt have him talk in the last one. That bad guy snoke looked like a cartoon character. The movie felt like a cartoon and it was long. There needs to be some elements of realism in these to get people other than 5 years olds engaged. Barf. I felt cheated watching this. Rian should make childrens movies for pixar or something and stay out of mythology.
20,"  Too many of the political plot elements seemed more descriptive of Disney culture where political correct behavior is forced to prove a point that falls flat. More specifically the escape sequence. It was descriptive of a dysfunctional culture more like the Empire, errrrr Disney? I also didn't expect to see Mary Poppins. The place erupted in laughter including the 12 year old folks next to me. Finally, Luke went through fire to become a mature man (think Obi ...) yet he was made out to be a broken recluse swimming in vain regrets."
15,"  Very uninteresting. They chickened out from perfect deaths for Leia and Finn. I don't give a crap about any of the characters. Captain Phasma was the only decent villain(quite good actually) but they only gave her like five minutes before having her die again. Where's Peter Cushing when you need him? The jokes were bad and out of place. Although there were some good moments, like the initial bombing run and the duel, The Last Jedi movie was a huge disappointment and a waste of thirteen dollars."
15,  Visually impressive. Great performances. Horrible writing. I expected more from Rian Johnson and Disney.
50,"  While there are some valid criticisms of this movie, it is overall an enjoyable movie worthy of the Star Wars name."
10,  Who wrote such a bad script? Who filmed it so helplessly? Logically Sharknado makes much more sense then this b-movie.
45,"  Without explicit spoilers, the thing I loved about this movie is that just when you are convinced you know what is going to happen, something else happens.. sometimes in multiple layers. This is the freshest Star Wars since episode VI. This one is going to just get better the more time we have with it."
5,"  Worst Starwars movie of the ENTIRE series. EVERYTHING about Luke Skywalker is out of character. No, not fanboy Luke expectation's, but, Luke's CANON character. For example, Luke sees the light in Vader ""a man who kills children and entire planets"", but sees enough evil in Kylo to try and KILL HIM!?!"
5,"  Worst SW movie ever. Disney shit all over Luke's character in the hopes of raising Rey and Kylo. Kylo and Rey both suck. Way to kill SW Disney, nice job."
,
